schoolCode,school,schoolAdmin
1,가경중학교,gagyeong-m@cberi.go.kr
2,가경초등학교,gagyeong-e@cberi.go.kr
3,가곡초등학교,gagok-e@cberi.go.kr
4,가덕중학교,gaduk-m@cberi.go.kr
5,가덕초등학교,kadok-e@cberi.go.kr
6,가평초등학교,kapyeong-e@cberi.go.kr
7,가흥초등학교,gaheung-e@cberi.go.kr
8,각리중학교,gakri-m@cberi.go.kr
9,각리초등학교,gakri-e@cberi.go.kr
10,갈원초등학교,galwon-e@cberi.go.kr
11,감곡중학교,gamgok-m@cberi.go.kr
12,감곡초등학교,gamgok-e@cberi.go.kr
13,감물초등학교,kammul-e@cberi.go.kr
14,강내초등학교,kangnae-e@cberi.go.kr
15,강서초등학교,gangseo-e@cberi.go.kr
16,개신초등학교,gaesin-e@cberi.go.kr
17,경덕중학교,kyongdug-m@cberi.go.kr
18,경덕초등학교,gyeongdeok-e@cberi.go.kr
19,경산초등학교,kyongsan-e@cberi.go.kr
20,관기초등학교,kwangi-e@cberi.go.kr
21,광혜원고등학교,ghw-h@cberi.go.kr
22,광혜원중학교,ghw-m@cberi.go.kr
23,괴산고등학교,goesan-h@cberi.go.kr
24,괴산명덕초등학교,gsmyungduk-e@cberi.go.kr
25,괴산북중학교,goesanbuk-m@cberi.go.kr
26,괴산오성중학교,goesanosung-m@cberi.go.kr
27,괴산중학교,goesan-m@cberi.go.kr
28,교동초등학교,gyodong-e@cberi.go.kr
29,구룡초등학교,kuryong-e@cberi.go.kr
30,구정초등학교,gujeong-e@cberi.go.kr
31,국원고등학교,gukwon-h@cberi.go.kr
32,국원유치원,igukwon-k@cberi.go.kr
33,국원초등학교,gukwon-e@cberi.go.kr
34,군남초등학교,good-e@cberi.go.kr
35,군서초등학교,gunseo-e@cberi.go.kr
36,금가초등학교,gumga-e@cberi.go.kr
37,금구초등학교,kumgu-e@cberi.go.kr
38,금성초등학교,gumsung-e@cberi.go.kr
39,금왕유치원,geumwang-k@cberi.go.kr
40,금천고등학교,kch-h@cberi.go.kr
41,금천중학교,geumcheon-m@cberi.go.kr
42,금천초등학교,kumchon-e@cberi.go.kr
43,꽃동네학교,kkot-s@cberi.go.kr
44,남당초등학교,namdang-e@cberi.go.kr
45,남성유치원,namsung-k@cberi.go.kr
46,남성중학교,cjnamsung-m@cberi.go.kr
47,남성초등학교,namseong-e@cberi.go.kr
48,남신초등학교,namshin-e@cberi.go.kr
49,남이초등학교,nami-e@cberi.go.kr
50,남일초등학교,namil-e@cberi.go.kr
51,남천초등학교,namchon-e@cberi.go.kr
52,남평초등학교,nampyeong-e@cberi.go.kr
53,남한강초등학교,namhangang-e@cberi.go.kr
54,낭성초등학교,nangsong-e@cberi.go.kr
55,내북초등학교,cbnaebuk-e@cberi.go.kr
56,내수중학교,naesu-m@cberi.go.kr
57,내수초등학교,naesu-e@cberi.go.kr
58,내토중학교,naeto-m@cberi.go.kr
59,내토초등학교,naeto-e@cberi.go.kr
60,노은중학교,noun-m@cberi.go.kr
61,노은초등학교,noeun-e@cberi.go.kr
62,능산초등학교,neungsan-e@cberi.go.kr
63,단성중학교,dansung-m@cberi.go.kr
64,단양고등학교,danyang-h@cberi.go.kr
65,단양소백산중학교,sobaeksan-m@cberi.go.kr
66,단양유치원,dykid-k@cberi.go.kr
67,단양중학교,danyang-m@cberi.go.kr
68,단양초등학교,danyang-e@cberi.go.kr
69,단월초등학교,danweol-e@cberi.go.kr
70,단재초등학교,danjae-e@cberi.go.kr
71,단천초등학교,dancheon-e@cberi.go.kr
72,달천초등학교,dalcheon-e@cberi.go.kr
73,대가초등학교,taega-e@cberi.go.kr
74,대강초등학교,daegang-e@cberi.go.kr
75,대금고등학교,daegeum-h@cberi.go.kr
76,대길초등학교,daegil-e@cberi.go.kr
77,대미초등학교,daemi-e@cberi.go.kr
78,대성여자상업고등학교,cds-h@cberi.go.kr
79,대성여자중학교,dsg-m@cberi.go.kr
80,대성중학교,cjdaesung-m@cberi.go.kr
81,대소원초중학교,cjtaesowon-e@cberi.go.kr
82,대소유치원,daeso-k@cberi.go.kr
83,대소중학교,daeso-m@cberi.go.kr
84,대소초등학교,daeso-e@cberi.go.kr
85,대제중학교,daeje-m@cberi.go.kr
86,덕벌초등학교,deogbeol-e@cberi.go.kr
87,덕산중학교,jcds-m@cberi.go.kr
88,덕성유치원,ducksung-k@cberi.go.kr
89,덕성초등학교,deokseong-e@cberi.go.kr
90,덕신초등학교,deoksin-e@cberi.go.kr
91,도안초등학교,doan-e@cberi.go.kr
92,동광초등학교,boeundonggwang-e@cberi.go.kr
93,동락초등학교,tongrak-e@cberi.go.kr
94,동량초등학교,dongryang-e@cberi.go.kr
95,동명초등학교,jcdm-e@cberi.go.kr
96,동성유치원,dongseong-k@cberi.go.kr
97,동성중학교,dongseong-m@cberi.go.kr
98,동성초등학교,ds-e@cberi.go.kr
99,동이초등학교,dongi-e@cberi.go.kr
100,동인초등학교,dongin-e@cberi.go.kr
101,동주초등학교,dongju-e@cberi.go.kr
102,동화초등학교,tonghwa-e@cberi.go.kr
103,두학초등학교,duhak-e@cberi.go.kr
104,만수초등학교,mansue-e@cberi.go.kr
105,만승초등학교,mansung-e@cberi.go.kr
106,매곡초등학교,maegok-e@cberi.go.kr
107,매괴고등학교,maegoe-h@cberi.go.kr
108,매괴여자중학교,maegoe-m@cberi.go.kr
109,매포중학교,maepo-m@cberi.go.kr
110,매포초등학교,maepo-e@cberi.go.kr
111,맹동초등학교,maengdong-e@cberi.go.kr
112,명지초등학교,myeongji-e@cberi.go.kr
113,모충초등학교,mochung-e@cberi.go.kr
114,목도고등학교,mokdo-h@cberi.go.kr
115,목도초등학교,mokdo-e@cberi.go.kr
116,목행초등학교,mokhaeng-e@cberi.go.kr
117,무극중학교,mugeuk-m@cberi.go.kr
118,무극초등학교,muguk-e@cberi.go.kr
119,문광초등학교,munkwang-e@cberi.go.kr
120,문백초등학교,munbaekcho-e@cberi.go.kr
121,문상초등학교,munsang-e@cberi.go.kr
122,문의중학교,munui-m@cberi.go.kr
123,문의초등학교,munui-e@cberi.go.kr
124,미원중학교,miwon-m@cberi.go.kr
125,미원초등학교,miwoncho-e@cberi.go.kr
126,백곡초등학교,baekgok-e@cberi.go.kr
127,백봉초등학교,baekbong-e@cberi.go.kr
128,백운중학교,baekun-m@cberi.go.kr
129,백운초등학교,paegune-e@cberi.go.kr
130,별방초등학교,byolbang-m@cberi.go.kr
131,보광초등학교,bokwang-e@cberi.go.kr
132,보덕중학교,boduck-m@cberi.go.kr
133,보은고등학교,boeun-h@cberi.go.kr
134,보은삼산초등학교,samsan-e@cberi.go.kr
135,보은여자고등학교,boeung-h@cberi.go.kr
136,보은여자중학교,boeung-m@cberi.go.kr
137,보은정보고등학교,boeuni-h@cberi.go.kr
138,보은중학교,boeun-m@cberi.go.kr
139,복대중학교,bokdae-m@cberi.go.kr
140,복대초등학교,bokdae-e@cberi.go.kr
141,봉덕초등학교,cjbongduk-e@cberi.go.kr
142,봉명고등학교,cbm-h@cberi.go.kr
143,봉명중학교,bongmyeong-m@cberi.go.kr
144,봉명초등학교,pongmyong-e@cberi.go.kr
145,봉양중학교,bongyang-m@cberi.go.kr
146,봉양초등학교,pongyang-e@cberi.go.kr
147,봉정초등학교,bongjeong-e@cberi.go.kr
148,부용초등학교,puyong-e@cberi.go.kr
